"long"	"lat"	"order"	"hole"	"piece"	"id"	"group"	"cod_dpto"	"dpto"	"mpio"
"114"	-74.07749939	4.47130108	120979	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"115"	-74.08609772	4.46500111	120980	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"116"	-74.0931015	4.45629978	120981	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"117"	-74.10230255	4.44540119	120982	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"118"	-74.11029816	4.43790007	120983	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"119"	-74.11730194	4.43160105	120984	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"120"	-74.12129974	4.42579985	120985	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"121"	-74.1269989	4.41830015	120986	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"122"	-74.13220215	4.40679884	120987	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"123"	-74.13510132	4.40110111	120988	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"124"	-74.13569641	4.39700079	120989	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"125"	-74.13510132	4.38830185	120990	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"126"	-74.13339996	4.37850094	120991	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"127"	-74.12590027	4.36809921	120992	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"128"	-74.12120056	4.35589886	120993	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"129"	-74.12120056	4.34730005	120994	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"130"	-74.12760162	4.33690023	120995	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"131"	-74.12809753	4.32540178	120996	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"132"	-74.13159943	4.31959915	120997	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"133"	-74.13159943	4.31610107	120998	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"134"	-74.13159943	4.31269979	120999	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"135"	-74.13159943	4.30859995	121000	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"136"	-74.13510132	4.30459976	121001	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"137"	-74.13619995	4.30060005	121002	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"138"	-74.13739777	4.29879999	121003	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"139"	-74.14080048	4.29650021	121004	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"140"	-74.14309692	4.29600096	121005	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"141"	-74.14600372	4.28900003	121006	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"142"	-74.15059662	4.27869987	121007	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"143"	-74.15119934	4.27229977	121008	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"144"	-74.15350342	4.26249981	121009	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
